User ID,Name,Location,Service Rating,Time Slot,Delivery Successful,Average Rating
UID00001,Yatin Kala,Shimoga,4.8,14:00-15:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.5,10:00-11:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.3,15:00-16:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.3,10:00-11:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.2,14:00-15:00,1,3.6
UID00001,Yatin Kala,Shimoga,3.6,12:00-13:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.8,14:00-15:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.5,10:00-11:00,1,3.6
UID00001,Yatin Kala,Shimoga,5.0,12:00-13:00,1,3.6
UID00001,Yatin Kala,Shimoga,0.0,11:00-12:00,0,3.6
UID00001,Yatin Kala,Shimoga,4.3,13:00-14:00,1,3.6
UID00001,Yatin Kala,Shimoga,3.8,15:00-16:00,1,3.6
UID00001,Yatin Kala,Shimoga,0.0,14:00-15:00,0,3.6
UID00001,Yatin Kala,Shimoga,3.8,14:00-15:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.2,15:00-16:00,1,3.6
UID00001,Yatin Kala,Shimoga,3.6,13:00-14:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.4,12:00-13:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.6,10:00-11:00,1,3.6
UID00001,Yatin Kala,Shimoga,3.6,12:00-13:00,1,3.6
UID00001,Yatin Kala,Shimoga,3.7,10:00-11:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.7,13:00-14:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.5,14:00-15:00,1,3.6
UID00001,Yatin Kala,Shimoga,3.7,12:00-13:00,1,3.6
UID00001,Yatin Kala,Shimoga,0.0,15:00-16:00,0,3.6
UID00001,Yatin Kala,Shimoga,4.7,12:00-13:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.6,12:00-13:00,1,3.6
UID00001,Yatin Kala,Shimoga,0.0,15:00-16:00,0,3.6
UID00001,Yatin Kala,Shimoga,4.7,15:00-16:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.3,10:00-11:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.8,12:00-13:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.9,12:00-13:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.1,13:00-14:00,1,3.6
UID00001,Yatin Kala,Shimoga,0.0,13:00-14:00,0,3.6
UID00001,Yatin Kala,Shimoga,5.0,11:00-12:00,1,3.6
UID00001,Yatin Kala,Shimoga,0.0,11:00-12:00,0,3.6
UID00001,Yatin Kala,Shimoga,3.7,14:00-15:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.3,10:00-11:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.0,10:00-11:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.2,12:00-13:00,1,3.6
UID00001,Yatin Kala,Shimoga,0.0,13:00-14:00,0,3.6
UID00001,Yatin Kala,Shimoga,3.9,12:00-13:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.6,14:00-15:00,1,3.6
UID00001,Yatin Kala,Shimoga,3.6,10:00-11:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.5,13:00-14:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.1,15:00-16:00,1,3.6
UID00001,Yatin Kala,Shimoga,0.0,11:00-12:00,0,3.6
UID00001,Yatin Kala,Shimoga,4.1,10:00-11:00,1,3.6
UID00001,Yatin Kala,Shimoga,5.0,14:00-15:00,1,3.6
UID00001,Yatin Kala,Shimoga,4.5,13:00-14:00,1,3.6
UID00002,Joshua Rajan,Tumkur,3.8,13:00-14:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.2,13:00-14:00,1,3.6
UID00002,Joshua Rajan,Tumkur,3.7,15:00-16:00,1,3.6
UID00002,Joshua Rajan,Tumkur,0.0,14:00-15:00,0,3.6
UID00002,Joshua Rajan,Tumkur,4.4,12:00-13:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.6,14:00-15:00,1,3.6
UID00002,Joshua Rajan,Tumkur,0.0,11:00-12:00,0,3.6
UID00002,Joshua Rajan,Tumkur,5.0,12:00-13:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.6,15:00-16:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.2,10:00-11:00,1,3.6
UID00002,Joshua Rajan,Tumkur,3.8,13:00-14:00,1,3.6
UID00002,Joshua Rajan,Tumkur,5.0,12:00-13:00,1,3.6
UID00002,Joshua Rajan,Tumkur,0.0,12:00-13:00,0,3.6
UID00002,Joshua Rajan,Tumkur,4.7,11:00-12:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.9,10:00-11:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.7,11:00-12:00,1,3.6
UID00002,Joshua Rajan,Tumkur,3.7,12:00-13:00,1,3.6
UID00002,Joshua Rajan,Tumkur,0.0,13:00-14:00,0,3.6
UID00002,Joshua Rajan,Tumkur,4.9,15:00-16:00,1,3.6
UID00002,Joshua Rajan,Tumkur,3.8,11:00-12:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.8,12:00-13:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.4,13:00-14:00,1,3.6
UID00002,Joshua Rajan,Tumkur,3.8,13:00-14:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.8,15:00-16:00,1,3.6
UID00002,Joshua Rajan,Tumkur,0.0,13:00-14:00,0,3.6
UID00002,Joshua Rajan,Tumkur,3.8,10:00-11:00,1,3.6
UID00002,Joshua Rajan,Tumkur,3.7,12:00-13:00,1,3.6
UID00002,Joshua Rajan,Tumkur,3.5,14:00-15:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.3,14:00-15:00,1,3.6
UID00002,Joshua Rajan,Tumkur,0.0,12:00-13:00,0,3.6
UID00002,Joshua Rajan,Tumkur,5.0,13:00-14:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.9,13:00-14:00,1,3.6
UID00002,Joshua Rajan,Tumkur,3.6,14:00-15:00,1,3.6
UID00002,Joshua Rajan,Tumkur,4.5,11:00-12:00,1,3.6
UID00002,Joshua Rajan,Tumkur,3.7,14:00-15:00,1,3.6
UID00002,Joshua Rajan,Tumkur,0.0,11:00-12:00,0,3.6
